Name,Problem ID,Tags,Time Limit,Memory Limit,Description,Input Specification,Output Specification
Yogurt Sale,1955A,math,1 second,256,"The price of one yogurt at the ""Vosmiorochka"" store is $$$a$$$ burles, but there is a promotion where you can buy two yogurts for $$$b$$$ burles.
Maxim needs to buy exactly $$$n$$$ yogurts. When buying two yogurts, he can choose to buy them at the regular price or at the promotion price.
What is the minimum amount of burles Maxim should spend to buy $$$n$$$ yogurts?
The first line contains a single integer $$$t$$$ ($$$1 \le t \le {10}^{4}$$$) — the number of test cases.
The first and only line of each test case contains three integers $$$n$$$, $$$a$$$, and $$$b$$$ ($$$1 \le n \le 100$$$, $$$1 \le a, b \le 30$$$) — the number of yogurts Maxim wants to buy, the price for one yogurt, and the price for two yogurts on promotion.
For each test case, print in a separate line the minimum cost of buying $$$n$$$ yogurts at ""Vosmiorochka"".
In the third test case of the example, it is more advantageous to buy three yogurts for $$$15$$$ burles than two for $$$11$$$ and one for $$$5$$$.
In the fourth test case of the example, you need to buy four yogurts, each for $$$5$$$ burles.","The first line contains a single integer $$$t$$$ ($$$1 \le t \le {10}^{4}$$$) — the number of test cases.
The first and only line of each test case contains three integers $$$n$$$, $$$a$$$, and $$$b$$$ ($$$1 \le n \le 100$$$, $$$1 \le a, b \le 30$$$) — the number of yogurts Maxim wants to buy, the price for one yogurt, and the price for two yogurts on promotion.","For each test case, print in a separate line the minimum cost of buying $$$n$$$ yogurts at ""Vosmiorochka""."
Unique Strings,1954F,"combinatorics, dp, math",2,256,"Let's say that two strings $$$a$$$ and $$$b$$$ are equal if you can get the string $$$b$$$ by cyclically shifting string $$$a$$$. For example, the strings 0100110 and 1100100 are equal, while 1010 and 1100 are not.
You are given a binary string $$$s$$$ of length $$$n$$$. Its first $$$c$$$ characters are 1 -s, and its last $$$n - c$$$ characters are 0 -s.
In one operation, you can replace one 0 with 1 .
Calculate the number of unique strings you can get using no more than $$$k$$$ operations. Since the answer may be too large, print it modulo $$$10^9 + 7$$$.
The first and only line contains three integers $$$n$$$, $$$c$$$ and $$$k$$$ ($$$1 \le n \le 3000$$$; $$$1 \le c \le n$$$; $$$0 \le k \le n - c$$$) — the length of string $$$s$$$, the length of prefix of 1 -s and the maximum number of operations.
Print the single integer — the number of unique strings you can achieve performing no more than $$$k$$$ operations, modulo $$$10^9 + 7$$$.
In the first test case, the only possible string is 1 .
In the second test case, the possible strings are: 100 , 110 , and 111 . String 101 is equal to 110 , so we don't count it.
In the third test case, the possible strings are: 10000 , 11000 , 10100 . String 10010 is equal to 10100 , and 10001 is equal to 11000 .","The first and only line contains three integers $$$n$$$, $$$c$$$ and $$$k$$$ ($$$1 \le n \le 3000$$$; $$$1 \le c \le n$$$; $$$0 \le k \le n - c$$$) — the length of string $$$s$$$, the length of prefix of 1 -s and the maximum number of operations.","Print the single integer — the number of unique strings you can achieve performing no more than $$$k$$$ operations, modulo $$$10^9 + 7$$$."
Chain Reaction,1954E,"binary search, data structures, dsu, greedy, implementation, math, number theory",3,512,"There are $$$n$$$ monsters standing in a row. The $$$i$$$-th monster has $$$a_i$$$ health points.
Every second, you can choose one alive monster and launch a chain lightning at it. The lightning deals $$$k$$$ damage to it, and also spreads to the left (towards decreasing $$$i$$$) and to the right (towards increasing $$$i$$$) to alive monsters, dealing $$$k$$$ damage to each. When the lightning reaches a dead monster or the beginning/end of the row, it stops. A monster is considered alive if its health points are strictly greater than $$$0$$$.
For example, consider the following scenario: there are three monsters with health equal to $$$[5, 2, 7]$$$, and $$$k = 3$$$. You can kill them all in $$$4$$$ seconds:
For each $$$k$$$ from $$$1$$$ to $$$\max(a_1, a_2, \dots, a_n)$$$, calculate the minimum number of seconds it takes to kill all the monsters.
The first line contains a single integer $$$n$$$ ($$$1 \le n \le 10^5$$$) — the number of monsters.
The second line contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 10^5$$$) — the health points of the $$$i$$$-th monster.
For each $$$k$$$ from $$$1$$$ to $$$\max(a_1, a_2, \dots, a_n)$$$, output the minimum number of seconds it takes to kill all the monsters.","The first line contains a single integer $$$n$$$ ($$$1 \le n \le 10^5$$$) — the number of monsters.
The second line contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 10^5$$$) — the health points of the $$$i$$$-th monster.","For each $$$k$$$ from $$$1$$$ to $$$\max(a_1, a_2, \dots, a_n)$$$, output the minimum number of seconds it takes to kill all the monsters."
Colored Balls,1954D,"combinatorics, dp, math, sortings",2,1024,"There are balls of $$$n$$$ different colors; the number of balls of the $$$i$$$-th color is $$$a_i$$$.
The balls can be combined into groups. Each group should contain at most $$$2$$$ balls, and no more than $$$1$$$ ball of each color.
Consider all $$$2^n$$$ sets of colors. For a set of colors, let's denote its value as the minimum number of groups the balls of those colors can be distributed into. For example, if there are three colors with $$$3$$$, $$$1$$$ and $$$7$$$ balls respectively, they can be combined into $$$7$$$ groups (and not less than $$$7$$$), so the value of that set of colors is $$$7$$$.
Your task is to calculate the sum of values over all $$$2^n$$$ possible sets of colors. Since the answer may be too large, print it modulo $$$998\,244\,353$$$.
The first line contains a single integer $$$n$$$ ($$$1 \le n \le 5000$$$) — the number of colors.
The second line contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 5000$$$) — the number of balls of the $$$i$$$-th color.
Additional constraint on input: the total number of balls doesn't exceed $$$5000$$$.
Print a single integer — the sum of values of all $$$2^n$$$ sets of colors, taken modulo $$$998\,244\,353$$$.
Consider the first example. There are $$$8$$$ sets of colors:
So, the sum of values over all $$$2^n$$$ sets of colors is $$$11$$$.","The first line contains a single integer $$$n$$$ ($$$1 \le n \le 5000$$$) — the number of colors.
The second line contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 5000$$$) — the number of balls of the $$$i$$$-th color.
Additional constraint on input: the total number of balls doesn't exceed $$$5000$$$.","Print a single integer — the sum of values of all $$$2^n$$$ sets of colors, taken modulo $$$998\,244\,353$$$."
Long Multiplication,1954C,"greedy, math, number theory",2,256,"You are given two integers $$$x$$$ and $$$y$$$ of the same length, consisting of digits from $$$1$$$ to $$$9$$$.
You can perform the following operation any number of times (possibly zero): swap the $$$i$$$-th digit in $$$x$$$ and the $$$i$$$-th digit in $$$y$$$.
For example, if $$$x=73$$$ and $$$y=31$$$, you can swap the $$$2$$$-nd digits and get $$$x=71$$$ and $$$y=33$$$.
Your task is to maximize the product of $$$x$$$ and $$$y$$$ using the aforementioned operation any number of times. If there are multiple answers, print any of them.
The first line contains a single integer $$$t$$$ ($$$1 \le t \le 1000$$$) — the number of test cases.
The first line of each test case contains a single integer $$$x$$$ ($$$1 \le x < 10^{100}$$$).
The second line of each test case contains a single integer $$$y$$$ ($$$1 \le y < 10^{100}$$$).
Additional constraint on input: the integers $$$x$$$ and $$$y$$$ consist only of digits from $$$1$$$ to $$$9$$$.
For each test case, print two lines — the first line should contain the number $$$x$$$ after performing the operations; similarly, the second line should contain the number $$$y$$$ after performing the operations. If there are multiple answers, print any of them.","The first line contains a single integer $$$t$$$ ($$$1 \le t \le 1000$$$) — the number of test cases.
The first line of each test case contains a single integer $$$x$$$ ($$$1 \le x < 10^{100}$$$).
The second line of each test case contains a single integer $$$y$$$ ($$$1 \le y < 10^{100}$$$).
Additional constraint on input: the integers $$$x$$$ and $$$y$$$ consist only of digits from $$$1$$$ to $$$9$$$.","For each test case, print two lines — the first line should contain the number $$$x$$$ after performing the operations; similarly, the second line should contain the number $$$y$$$ after performing the operations. If there are multiple answers, print any of them."
Make It Ugly,1954B,"implementation, math",2,256,"Let's call an array $$$a$$$ beautiful if you can make all its elements the same by using the following operation an arbitrary number of times (possibly, zero):
You are given a beautiful array $$$a_1, a_2, \dots, a_n$$$. What is the minimum number of elements you have to remove from it in order for it to stop being beautiful? Swapping elements is prohibited. If it is impossible to do so, then output -1 .
The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases.
The first line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 3 \cdot 10^5$$$).
The second line contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le n$$$).
Additional constraints on the input:
For each test case, output a single integer — the minimum number of elements you have to remove from the array $$$a$$$ in order for it to stop being beautiful. If it is impossible, then output -1 .
In the first testcase, it is impossible to modify the array in such a way that it stops being beautiful. An array consisting of identical numbers will remain beautiful no matter how many numbers we remove from it.
In the second testcase, you can remove the number at the index $$$5$$$, for example.
The resulting array will be $$$[1, 2, 1, 2]$$$. Let's check if it is beautiful. Two operations are available:
Thus, the array $$$[1, 2, 1, 2]$$$ is not beautiful.
In the fourth testcase, you can remove the first three elements, for example. The resulting array $$$[5, 3, 3, 3]$$$ is not beautiful.","The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases.
The first line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 3 \cdot 10^5$$$).
The second line contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le n$$$).
Additional constraints on the input:","For each test case, output a single integer — the minimum number of elements you have to remove from the array $$$a$$$ in order for it to stop being beautiful. If it is impossible, then output -1 ."
Painting the Ribbon,1954A,"constructive algorithms, greedy, math",2,512,"Alice and Bob have bought a ribbon consisting of $$$n$$$ parts. Now they want to paint it.
First, Alice will paint every part of the ribbon into one of $$$m$$$ colors. For each part, she can choose its color arbitrarily.
Then, Bob will choose at most $$$k$$$ parts of the ribbon and repaint them into the same color (he chooses the affected parts and the color arbitrarily).
Bob would like all parts to have the same color. However, Alice thinks that this is too dull, so she wants to paint the ribbon in such a way that Bob cannot make all parts have the same color.
Is it possible to paint the ribbon in such a way?
The first line contains one integer $$$t$$$ ($$$1 \le t \le 1000$$$) — the number of test cases.
Each test case consists of one line containing three integers $$$n$$$, $$$m$$$ and $$$k$$$ ($$$1 \le m, k \le n \le 50$$$) — the number of parts, the number of colors and the number of parts Bob can repaint, respectively.
For each test case, print YES if Alice can paint the ribbon so that Bob cannot make all parts have the same color. Otherwise, print NO .
You can print every letter in any register. For example, Yes , yes , yEs will all be recognized as positive answer.
In the first test case, a ribbon consists of $$$1$$$ part. So all its parts will always have the same color.
In the second test case, there is only $$$1$$$ color.
In the third test case, Alice can paint the ribbon as follows: $$$[1, 2, 1, 2, 1]$$$. It's impossible to change the color of at most $$$1$$$ part so that all parts have the same color.
In the fourth test case, no matter how Alice paints the ribbon, Bob will always be able to repaint $$$2$$$ parts so that all parts have the same color.
In the fifth test case, Alice can paint the ribbon as follows: $$$[1, 2, 3, 4, 5]$$$. It's impossible to change the color of at most $$$3$$$ parts so that all parts have the same color.","The first line contains one integer $$$t$$$ ($$$1 \le t \le 1000$$$) — the number of test cases.
Each test case consists of one line containing three integers $$$n$$$, $$$m$$$ and $$$k$$$ ($$$1 \le m, k \le n \le 50$$$) — the number of parts, the number of colors and the number of parts Bob can repaint, respectively.","For each test case, print YES if Alice can paint the ribbon so that Bob cannot make all parts have the same color. Otherwise, print NO .
You can print every letter in any register. For example, Yes , yes , yEs will all be recognized as positive answer."
Accuracy-Preserving Summation Algorithm,1953A,*special,10,1024,"In the classic high-performance computing domain (HPC), the vast majority of computations are conducted in double-precision 64-bit floating-point numbers (fp64, double-precision, IEEE-754 binary64). The rise of Deep Neural Networks (DNNs) resulted in hardware (HW) capable of processing 16-bit floating point numbers (fp16, half precision, IEEE-754 binary16) up to 16 times faster in terms of floating-point operations per second (flops) and up to 4 times faster in terms of memory bandwidth (BW). At the same time, the short mantissa and exponent for fp16 numbers lead to a very fast loss of precision of computations, producing wrong computational results without any option to recover them in reduction operations of size greater than approximately $$$2000$$$. As the typical problem size in HPC is much larger than $$$2000$$$, this makes fp16 computations almost useless. To surmount this major roadblock, smarter algorithms for reduction operations are needed.
Description. There is a sequence of floating-point numbers stored in IEEE-754 binary64 (double precision, fp64) format $$$x_i$$$ of length $$$N$$$. The sequence needs to be summed up to $$$S = x_1 + x_2 + \ldots + x_N$$$. As professional computer equipment with native support for fp16 is usually unavailable to the general audience, we propose to do operations in a simplified simulated environment, that is, we do computations in fp64 format with mantissa and exponent cut to the range admissible in fp16. In particular, small values that do not fit fp16 admissible range turn into zeros, while excessively large values turn into infinities.
Objective. Your objective is to sum up as many sequences as possible as fast as possible and as accurately as possible. Please note that you may do summation in fp64 format, but the summation process would be slow though accurate. If you do plain summation in fp16 format, it can be fast, but inaccurate, especially for larger sequences.
The input consists of a single line. It starts with an integer $$$N$$$ representing the number of values in the sequence. The following $$$N$$$ double precision numbers form the sequence $$$x_i$$$, where $$$i = 1, \ldots, N$$$.
Variable constraints:
Note that the actual binary64 value is not always exactly equal to the given decimal value. Instead, the actual given value is the closest number representable in binary64. When reading the input, most programming languages will do the conversion for you automatically.
It is guaranteed that every number in the sequence either is $$$0$$$ or has absolute value between $$$10^{-300}$$$ and $$$10^{300}$$$, inclusive.
Print a single line which will describe the summation process. The line should contain an encoded algorithm for the summation. We use this encoding to do actual summation and report the result to prevent the need to seek hardware capable of doing fp16 operations natively.
An encoded algorithm consists of the data type to use, followed by a list of values to sum up using this data type. The result of the algorithm is the sum of the given values, as computed in the given data type, from left to right, in the given order. It looks as follows:
As you can see, the whole algorithm is surrounded by curly brackets ("" { "" and "" } ""). The next character represents one of the three possible data types:
Then goes a colon ("" : ""). It is followed by a non-empty list of values to sum up, separated by commas ("" , ""). Note that there are no spaces.
Each value can be one of the following:
Some examples:
Each input value must be used exactly once.
In this problem, there are 2 example tests and 76 main tests. Each main test is scored as follows.
The first part of scoring is related to accuracy. We denote the sum calculated by the solution as $$$S_c$$$. Next, we calculate the expected sum $$$S_e$$$ as precisely as we can, and store it in binary64 format. Then the accuracy score is calculated as: $$$$$$A = \left(\max\left(\frac{\left|S_c - S_e\right|}{\max\left(\left|S_e\right|, 10^{-200}\right)}, 10^{-20}\right)\right)^{0.05}\text{.}$$$$$$
For example, if the calculated sum is $$$99.0$$$ and the expected sum is $$$100.0$$$, the accuracy score is $$$A = \left(\frac{\left|99 - 100\right|}{\left|100\right|}\right)^{0.05} = \left(\frac{1}{100}\right)^{0.05} = 0.794328...$$$. If the relative error is $$$\frac{1}{1000}$$$, the accuracy score is $$$A = \left(\frac{1}{1000}\right)^{0.05} = 0.707945...$$$. If the solution is exact, we get $$$A = \left(10^{-20}\right)^{0.05} = 0.1$$$.
The second part of scoring is related to the types used for summation. We define the weight $$$W$$$ of the algorithm as follows. If the algorithm performs $$$k$$$ additions (adding up $$$k + 1$$$ values), its weight is:
The third part of scoring is related to a penalty for memory reads. We list the $$$N$$$ numbers appearing in the algorithm from left to right, omitting all curly brackets . We divide the numbers into consecutive blocks of 16 elements; the last block may contain less than 16 elements. In each block, its first element $$$i$$$ initiates a memory read. For every other element $$$j$$$ of the block, if $$$\left|j - i\right| > 15$$$, it is too far from the memory which was read for this block, and you get a penalty. The penalties increase gradually: the $$$x$$$-th penalty you get will be $$$x / 20\,000$$$. The penalty counter $$$x$$$ is global, it persists across different blocks. All the penalties add up to the total penalty $$$P$$$.
For example, consider the following algorithm: {s:1,2,3,4,5,6,7,8,9,10,{d:20,19,18,17,16},11,12,13,14,15} . It performs $$$15$$$ additions in single precision, and one of its elements is also an algorithm which performs $$$4$$$ additions in double precision. Thus its weight is $$$W = 15 \cdot 2 + 4 \cdot 4 = 46$$$. The first memory read block is 1,2,3,4,5,6,7,8,9,10,20,19,18,17,16,11 , the initial read is at position $$$1$$$, and the positions in the block that are more than $$$15$$$ units away are $$$20$$$, $$$19$$$, $$$18$$$, and $$$17$$$, so we get $$$4$$$ penalties. The second memory read block is 12,13,14,15 , the initial read is at position $$$12$$$, and there are no penalties. The total penalty is $$$P = (1 + 2 + 3 + 4) / 20\,000 = 0.0005$$$.
Putting the second and third part together, we calculate the average cost for a single operation as: $$$$$$C = \frac{W + P}{N-1}\text{.}$$$$$$ Then the data score is calculated as: $$$$$$D = \frac{10.0}{\sqrt{C + 0.5}}\text{.}$$$$$$ Lastly, taking the accuracy score into account, the score for the test is: $$$$$$\mathit{Score} = \frac{D}{A}\text{.}$$$$$$ All individual test scores for main tests sum up together to produce the final score. Examples are checked, but do not contribute to the score.
Two sets of tests are prepared in this problem: preliminary tests and final tests. For the duration of the competition, each submission is tested on the preliminary set of tests. When the competition is finished, for each contestant:
The two sets of tests are designed to be similar, but not identical.","The input consists of a single line. It starts with an integer $$$N$$$ representing the number of values in the sequence. The following $$$N$$$ double precision numbers form the sequence $$$x_i$$$, where $$$i = 1, \ldots, N$$$.
Variable constraints:
Note that the actual binary64 value is not always exactly equal to the given decimal value. Instead, the actual given value is the closest number representable in binary64. When reading the input, most programming languages will do the conversion for you automatically.
It is guaranteed that every number in the sequence either is $$$0$$$ or has absolute value between $$$10^{-300}$$$ and $$$10^{300}$$$, inclusive.","Print a single line which will describe the summation process. The line should contain an encoded algorithm for the summation. We use this encoding to do actual summation and report the result to prevent the need to seek hardware capable of doing fp16 operations natively.
An encoded algorithm consists of the data type to use, followed by a list of values to sum up using this data type. The result of the algorithm is the sum of the given values, as computed in the given data type, from left to right, in the given order. It looks as follows:
As you can see, the whole algorithm is surrounded by curly brackets ("" { "" and "" } ""). The next character represents one of the three possible data types:
Then goes a colon ("" : ""). It is followed by a non-empty list of values to sum up, separated by commas ("" , ""). Note that there are no spaces.
Each value can be one of the following:
Some examples:
Each input value must be used exactly once."
"Help, what does it mean to be ""Based""",1952J,"brute force, constructive algorithms, expression parsing, implementation, sortings",1 second,256,"Sup, gimme a single integer $$$x$$$ ($$$1 \le x \le 4$$$) homie uwu :3
If $$$x = 1$$$, spit out some based code that, like when ya feed it two integers $$$a$$$ and $$$b$$$, it hands over their sum.
If $$$x = 2$$$, slap some based code that takes an integer $$$a$$$ and returns its absolute value like magic, no cap.
If $$$x = 3$$$, check this out: blaze some based code that grabs an integer $$$n$$$ ($$$1 \le n \le 50$$$) and an array $$$a$$$ of $$$n$$$ distinct integers, then flexes the maximum value real quick.
If $$$x = 4$$$, toss me some based code that snatches an integer $$$n$$$ ($$$1 \le n \le 50$$$), an array $$$a$$$ of $$$n$$$ distinct integers and an integer $$$k$$$ ($$$1 \le k \le n$$$), then nails down that $$$k$$$-th largest value in the array. Get it, fam!
Slide into the ""My Submissions"" page and vibe check ur code by clicking on its ID. You'll see just how based or cringe it is.","Sup, gimme a single integer $$$x$$$ ($$$1 \le x \le 4$$$) homie uwu :3","If $$$x = 1$$$, spit out some based code that, like when ya feed it two integers $$$a$$$ and $$$b$$$, it hands over their sum.
If $$$x = 2$$$, slap some based code that takes an integer $$$a$$$ and returns its absolute value like magic, no cap.
If $$$x = 3$$$, check this out: blaze some based code that grabs an integer $$$n$$$ ($$$1 \le n \le 50$$$) and an array $$$a$$$ of $$$n$$$ distinct integers, then flexes the maximum value real quick.
If $$$x = 4$$$, toss me some based code that snatches an integer $$$n$$$ ($$$1 \le n \le 50$$$), an array $$$a$$$ of $$$n$$$ distinct integers and an integer $$$k$$$ ($$$1 \le k \le n$$$), then nails down that $$$k$$$-th largest value in the array. Get it, fam!"
Dark Matter,1952I,"bitmasks, geometry",1 second,256,View the statement as a PDF.,,
Palindrome,1952H,"implementation, strings",3,256,"A palindrome is a string that reads the same in both directions, for example z , uwu , or moom .
The first line contains an integer $$$t$$$ ($$$1 \leq t \leq 100$$$) — the number of testcases.
The following $$$t$$$ lines each contain a string of length at most $$$100$$$ consisting of lowercase English letters.
For each test case, output "" YES "" or "" NO "", denoting the answer.","The first line contains an integer $$$t$$$ ($$$1 \leq t \leq 100$$$) — the number of testcases.
The following $$$t$$$ lines each contain a string of length at most $$$100$$$ consisting of lowercase English letters.","For each test case, output "" YES "" or "" NO "", denoting the answer."
Mathematician Takeover,1952G,"binary search, dfs and similar, math",1 second,256,"A mathematician grabbed my computer as I was preparing this problem, deleted the statement, and changed the samples to fit his liking. The model solution and input/output format are still correct, but the samples are wrong.
I've partially fixed the problem so that when you submit, it will be tested against the correct version of the problem. However, I can't fix the samples below. As a computer scientist, can you solve the correct problem?
The only line of input contains a real number $$$x$$$ ($$$1 \leq x \leq 100$$$), given to exactly three decimal places.
Output one real number — the answer. Your answer is considered correct if its absolute or relative error does not exceed $$$10^{-4}$$$. Formally, let your answer be $$$a$$$, and the jury's answer be $$$b$$$. Your answer is accepted if and only if $$$\frac{|a-b|}{\max(1,|b|)} \le 10^{-4}$$$.","The only line of input contains a real number $$$x$$$ ($$$1 \leq x \leq 100$$$), given to exactly three decimal places.","Output one real number — the answer. Your answer is considered correct if its absolute or relative error does not exceed $$$10^{-4}$$$. Formally, let your answer be $$$a$$$, and the jury's answer be $$$b$$$. Your answer is accepted if and only if $$$\frac{|a-b|}{\max(1,|b|)} \le 10^{-4}$$$."
Grid,1952F,brute force,1 second,256,"The input contains $$$21$$$ lines, each containing $$$21$$$ characters $$$\texttt{0}$$$ or $$$\texttt{1}$$$.","The input contains $$$21$$$ lines, each containing $$$21$$$ characters $$$\texttt{0}$$$ or $$$\texttt{1}$$$.",
Sweep Line,1952E,"combinatorics, games, math",1 second,256,"The first line contains one integer $$$n$$$ ($$$1 \leq n \leq 10^5$$$) — the length of the array $$$a$$$.
The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$0 \leq a_i \leq 2$$$) — the array $$$a$$$.
Output a single integer — the number of solutions, modulo $$$20240401$$$.
In the first sample, the array looks like this:
$$$ \color{blue}{1} $$$ $$$ \color{blue}{1} $$$ $$$ \color{darkgreen}{2} $$$ $$$ \color{blue}{1} $$$ $$$ \color{blue}{1} $$$ $$$ \color{darkgreen}{2} $$$ $$$ \color{gray}{0} $$$
Obviously, the answer here is $$$1 \pmod{20240401}$$$.
In the second sample, the array looks like this:
$$$ \color{blue}{1} $$$ $$$ \color{blue}{1} $$$ $$$ \color{darkgreen}{2} $$$ $$$ \color{blue}{1} $$$ $$$ \color{blue}{1} $$$ $$$ \color{blue}{1} $$$ $$$ \color{gray}{0} $$$
I do not know why the answer here is $$$2 \pmod{20240401}$$$, I had to take a guess.
In the third sample, the array looks like this:
$$$ \color{gray}{0} $$$ $$$ \color{blue}{1} $$$ $$$ \color{darkgreen}{2} $$$ $$$ \color{blue}{1} $$$ $$$ \color{blue}{1} $$$ $$$ \color{blue}{1} $$$ $$$ \color{gray}{0} $$$
If the answer here is not $$$0 \pmod{20240401}$$$, I am literally going to explode.","The first line contains one integer $$$n$$$ ($$$1 \leq n \leq 10^5$$$) — the length of the array $$$a$$$.
The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$0 \leq a_i \leq 2$$$) — the array $$$a$$$.","Output a single integer — the number of solutions, modulo $$$20240401$$$."
Are You a Procrastinator?,1952D,implementation,1 second,256,"!
!
!
!
!",!,!
They Have Fooled,1952C,"brute force, schedules",1 second,256,"The first line contains one integer $$$n$$$ ($$$0 \leq n \leq 12$$$).
One integer — the answer.",The first line contains one integer $$$n$$$ ($$$0 \leq n \leq 12$$$).,One integer — the answer.
Is it stated?,1952B,strings,2,256,"The first line contains an integer $$$t$$$ ($$$1 \leq t \leq 100$$$) — the number of testcases.
The following $$$t$$$ lines each contain a string of length at most $$$100$$$ consisting of lowercase English letters.
For each test case, output "" YES "" or "" NO "", denoting the answer.","The first line contains an integer $$$t$$$ ($$$1 \leq t \leq 100$$$) — the number of testcases.
The following $$$t$$$ lines each contain a string of length at most $$$100$$$ consisting of lowercase English letters.","For each test case, output "" YES "" or "" NO "", denoting the answer."
"Are You a Robot, Again?",1952A,strings,1 second,256,,,
Growing Trees,1951I,"binary search, constructive algorithms, flows, graphs, greedy",5,512,"You are given an undirected connected simple graph with $$$n$$$ nodes and $$$m$$$ edges, where edge $$$i$$$ connects node $$$u_i$$$ and $$$v_i$$$, with two positive parameters $$$a_i$$$ and $$$b_i$$$ attached to it. Additionally, you are also given an integer $$$k$$$.
A non-negative array $$$x$$$ with size $$$m$$$ is called a $$$k$$$-spanning-tree generator if it satisfies the following:
The cost of such array $$$x$$$ is defined as $$$\sum_{i = 1}^m a_i x_i^2 + b_i x_i$$$. Find the minimum cost of a $$$k$$$-spanning-tree generator.
$$$^\dagger$$$ A spanning tree of a (multi)graph is a subset of the graph's edges that form a tree connecting all vertices of the graph.
Each test contains multiple test cases. The first line contains an integer $$$t$$$ ($$$1 \le t \le 500$$$) — the number of test cases. The description of the test cases follows.
The first line of each test case contains three integers $$$n$$$, $$$m$$$, and $$$k$$$ ($$$2 \le n \le 50, n - 1 \le m \le \min(50, \frac{n(n - 1)}{2}), 1 \le k \le 10^7$$$) — the number of nodes in the graph, the number of edges in the graph, and the parameter for the $$$k$$$-spanning-tree generator.
Each of the next $$$m$$$ lines of each test case contains four integers $$$u_i$$$, $$$v_i$$$, $$$a_i$$$, and $$$b_i$$$ ($$$1 \le u_i, v_i \le n, u_i \neq v_i, 1 \le a_i, b_i \le 1000$$$) — the endpoints of the edge $$$i$$$ and its two parameters. It is guaranteed that the graph is simple and connected.
It is guaranteed that the sum of $$$n^2$$$ and the sum of $$$m^2$$$ over all test cases does not exceed $$$2500$$$.
For each test case, output a single integer: the minimum cost of a $$$k$$$-spanning-tree generator.
In the first test case, a valid $$$1$$$-spanning-tree generator is $$$x = [1, 1, 1, 1, 0]$$$, as indicated by the following figure. The cost of this generator is $$$(1^2 \cdot 5 + 1 \cdot 5) + (1^2 \cdot 5 + 1 \cdot 7) + (1^2 \cdot 6 + 1 \cdot 2) + (1^2 \cdot 3 + 1 \cdot 5) + (0^2 \cdot 4 + 0 \cdot 9) = 38$$$. It can be proven that no other generator has a lower cost.
In the second test case, a valid $$$3$$$-spanning-tree generator is $$$x = [2, 3, 2, 2, 3]$$$, as indicated by the following figure. The cost of this generator is $$$(2^2 \cdot 5 + 2 \cdot 5) + (3^2 \cdot 5 + 3 \cdot 7) + (2^2 \cdot 6 + 2 \cdot 2) + (2^2 \cdot 3 + 2 \cdot 5) + (3^2 \cdot 4 + 3 \cdot 9) = 191$$$. It can be proven that no other generator has a lower cost.","Each test contains multiple test cases. The first line contains an integer $$$t$$$ ($$$1 \le t \le 500$$$) — the number of test cases. The description of the test cases follows.
The first line of each test case contains three integers $$$n$$$, $$$m$$$, and $$$k$$$ ($$$2 \le n \le 50, n - 1 \le m \le \min(50, \frac{n(n - 1)}{2}), 1 \le k \le 10^7$$$) — the number of nodes in the graph, the number of edges in the graph, and the parameter for the $$$k$$$-spanning-tree generator.
Each of the next $$$m$$$ lines of each test case contains four integers $$$u_i$$$, $$$v_i$$$, $$$a_i$$$, and $$$b_i$$$ ($$$1 \le u_i, v_i \le n, u_i \neq v_i, 1 \le a_i, b_i \le 1000$$$) — the endpoints of the edge $$$i$$$ and its two parameters. It is guaranteed that the graph is simple and connected.
It is guaranteed that the sum of $$$n^2$$$ and the sum of $$$m^2$$$ over all test cases does not exceed $$$2500$$$.","For each test case, output a single integer: the minimum cost of a $$$k$$$-spanning-tree generator."
